,id,entry name,protein_names,tissue_specificity
23,A1IGU5,ARH37_HUMAN,Rho guanine nucleotide exchange factor 37,
24,A1L4H1,SRCRL_HUMAN,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D),"TISSUE SPECIFICITY: Highly expressed in monocytes/macrophages and T-lymphocytes. Highly expressed in placenta and spleen, and also detected at lower levels in colon, and more weakly in lung, heart and kidney. {ECO:0000269|PubMed:19535143}."
25,A1X283,SPD2B_HUMAN,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains),TISSUE SPECIFICITY: Expressed in fibroblasts. {ECO:0000269|PubMed:20137777}.
26,A2RUC4,TYW5_HUMAN,tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase),
27,A2VEC9,SSPO_HUMAN,SCO-spondin (SCO-spondin pseudogene),
28,A3KMH1,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),"TISSUE SPECIFICITY: In fetal eye, it is highly expressed in the retina while expression is low in the cornea, sclera and lens. {ECO:0000269|PubMed:37012052}."
29,A3KN83,SBNO1_HUMAN,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),
30,A5A3E0,POTEF_HUMAN,POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein),TISSUE SPECIFICITY: Expressed in breast cancer cell lines (at protein level). {ECO:0000269|PubMed:17101985}.
31,A5YKK6,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),"TISSUE SPECIFICITY: Strongly expressed in brain, heart, thymus, spleen, kidney, liver, placenta and lung. Weakly expressed in skeletal muscle and colon. {ECO:0000269|PubMed:10637334}."
32,A5YM72,CRNS1_HUMAN,Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1),
33,A6NC98,CC88B_HUMAN,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3),"TISSUE SPECIFICITY: Expressed in endothelium (at protein level) (PubMed:21289099). Expressed in NK cells (at protein level) (PubMed:25762780). {ECO:0000269|PubMed:21289099, ECO:0000269|PubMed:25762780}."
34,A6NDG6,PGP_HUMAN,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),"TISSUE SPECIFICITY: Detected in all tissues including red cells, lymphocytes and cultured fibroblasts (at protein level). The highest activities occur in skeletal muscle and cardiac muscle. {ECO:0000269|PubMed:215071}."
35,A6NDU8,RIMC1_HUMAN,RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51),
36,A6NHL2,TBAL3_HUMAN,Tubulin alpha chain-like 3 (EC 3.6.5.-),
37,A6NHR9,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),
38,A6NHX0,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2),TISSUE SPECIFICITY: Widely expressed. {ECO:0000303|PubMed:26972053}.
39,A6NHZ5,LR14B_HUMAN,Leucine-rich repeat-containing protein 14B,
40,A6NMZ7,CO6A6_HUMAN,Collagen alpha-6(VI) chain,
41,A8K2U0,A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),"TISSUE SPECIFICITY: In the epidermis, expressed predominantly in the granular layer at the apical edge of keratinocytes (at protein level). Also detected in placenta, testis and thymus but not in epithelia of kidney, lung, small intestine or colon. {ECO:0000269|PubMed:16298998}."
42,A8K7I4,CLCA1_HUMAN,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1),"TISSUE SPECIFICITY: Highly expressed in small intestine and colon namely in intestinal basal crypt epithelia and goblet cells, and appendix. Weakly expressed in uterus, testis and kidney. Expressed in the airways epithelium of both asthmatic and healthy patients. Expressed in the bronchial epithelium, especially in mucus-producing goblet cells. Expressed in normal turbinate mucosa and nasal polyp. Expressed in. {ECO:0000269|PubMed:10437792, ECO:0000269|PubMed:11842292, ECO:0000269|PubMed:11956057, ECO:0000269|PubMed:16012037, ECO:0000269|PubMed:9828122}."
43,A8MTJ3,GNAT3_HUMAN,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain),"TISSUE SPECIFICITY: Expressed in taste buds (sensory organs of clustered epithelial cells) of the circumvallate and foliate papillae of the tongue at protein level. Expressed in enteroendocrine L cells of the gut. Detected also in spermatozoa. {ECO:0000269|PubMed:16728727, ECO:0000269|PubMed:17021831, ECO:0000269|PubMed:17724332, ECO:0000269|PubMed:8015379}."
44,A8MXV4,NUD19_HUMAN,Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19),
45,B0I1T2,MYO1G_HUMAN,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)],"TISSUE SPECIFICITY: Specifically expressed in hematopoietic cells. {ECO:0000269|PubMed:11544309, ECO:0000269|PubMed:20071333}."
46,C9JRZ8,AK1BF_HUMAN,Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64),"TISSUE SPECIFICITY: Widely expressed. Expressed at highest levels in steroid-sensitive tissues, such as placenta, testis and adipose tissue. {ECO:0000269|PubMed:25577493}."
47,E5RJM6,ANR65_HUMAN,Ankyrin repeat domain-containing protein 65,
48,E9PAV3,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)",
49,H3BV60,TGR3L_HUMAN,Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein),"TISSUE SPECIFICITY: Expressed in pituitary gland gonadotrope cells. {ECO:0000269|PubMed:33396509, ECO:0000269|PubMed:34910520}."
50,H7BZ55,CRCC2_HUMAN,Ciliary rootlet coiled-coil protein 2,
51,L0R6Q1,S35U4_HUMAN,SLC35A4 upstream open reading frame protein (SLC35A4 microprotein) (SLC35A4-MP),
52,O00139,KIF2A_HUMAN,Kinesin-like protein KIF2A (Kinesin-2) (hK2),
53,O00148,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),"TISSUE SPECIFICITY: Detected in testis, and at lower levels in brain, kidney, lung, thymus, spleen and salivary gland. {ECO:0000269|PubMed:15047853}."
54,O00151,PDLI1_HUMAN,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),"TISSUE SPECIFICITY: Strongly expressed in the heart and skeletal muscle, moderately expressed in the spleen, small intestine, colon, placenta, and lung. A lower level expression is seen in liver, thymus, kidney, prostate and pancreas and is not found in the brain, testis, ovary, and peripheral blood leukocytes."
55,O00154,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),TISSUE SPECIFICITY: Isoform 4 is expressed exclusively in brain. {ECO:0000269|PubMed:12435388}.
56,O00160,MYO1F_HUMAN,Unconventional myosin-If (Myosin-Ie),
57,O00165,HAX1_HUMAN,HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1),"TISSUE SPECIFICITY: Ubiquitous. Up-regulated in oral cancers. {ECO:0000269|PubMed:17545607, ECO:0000269|PubMed:9058808}."
58,O00170,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),"TISSUE SPECIFICITY: Widely expressed. Higher levels seen in the heart, placenta and skeletal muscle. Not expressed in the liver."
59,O00182,LEG9_HUMAN,Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21),"TISSUE SPECIFICITY: Peripheral blood leukocytes and lymphatic tissues. Expressed in lung, liver, breast and kidney with higher levels in tumor endothelial cells than normal endothelium (at protein level) (PubMed:24333696). Expressed in trophoblast cells in decidua and placenta in pregnancy (at protein level) (PubMed:23242525, PubMed:25578313). Isoform 2 is the most abundant isoform expressed in endothelial cells (PubMed:24333696). Upon endothelial cell activation isoform 2 expression decreases while expression of isoform 3 and isoform 5 increases (PubMed:24333696). Isoform 4 decreases in pathological pregnancy (PubMed:23242525). {ECO:0000269|PubMed:23242525, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:25578313}."
60,O00186,STXB3_HUMAN,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),TISSUE SPECIFICITY: Megakaryocytes and platelets.
61,O00194,RB27B_HUMAN,Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG),TISSUE SPECIFICITY: Expressed primarily in testis.
62,O00203,AP3B1_HUMAN,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),"TISSUE SPECIFICITY: Ubiquitously expressed. {ECO:0000269|PubMed:9151686, ECO:0000269|PubMed:9182526}."
63,O00204,ST2B1_HUMAN,Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1),"TISSUE SPECIFICITY: Expressed in the stratum granulosum-stratum corneum junction in the skin (at protein level) (PubMed:28575648). Expressed highly in placenta, prostate and trachea and lower expression in the small intestine and lung (PubMed:9799594). {ECO:0000269|PubMed:28575648, ECO:0000269|PubMed:9799594}."
64,O00232,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),
65,O00264,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),"TISSUE SPECIFICITY: Detected in urine (at protein level) (PubMed:36213313, PubMed:37453717). Expressed by endometrial glands and stroma (at protein level) (PubMed:23793472). Widely expressed, with highest expression in liver and kidney. {ECO:0000269|PubMed:23793472, ECO:0000269|PubMed:36213313}."
66,O00267,SPT5H_HUMAN,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),"TISSUE SPECIFICITY: Ubiquitously expressed. {ECO:0000269|PubMed:10075709, ECO:0000269|PubMed:8975720}."
67,O00273,DFFA_HUMAN,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),
68,O00291,HIP1_HUMAN,Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I),"TISSUE SPECIFICITY: Ubiquitously expressed with the highest level in brain. Expression is up-regulated in prostate and colon cancer. {ECO:0000269|PubMed:12163454, ECO:0000269|PubMed:9140394, ECO:0000269|PubMed:9147654}."
69,O00299,CLIC1_HUMAN,Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),"TISSUE SPECIFICITY: Expression is prominent in heart, placenta, liver, kidney and pancreas. {ECO:0000269|PubMed:10793131}."
70,O00303,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),
71,O00330,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",
72,O00339,MATN2_HUMAN,Matrilin-2,
73,O00391,QSOX1_HUMAN,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),"TISSUE SPECIFICITY: Expressed in heart, placenta, lung, liver, skeletal muscle, pancreas and very weakly in brain and kidney. {ECO:0000269|PubMed:10708601, ECO:0000269|Ref.8}."
74,O00401,WASL_HUMAN,Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP),
75,O00418,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),
76,O00425,IF2B3_HUMAN,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),"TISSUE SPECIFICITY: Expressed in fetal liver, fetal lung, fetal kidney, fetal thymus, fetal placenta, fetal follicles of ovary and gonocytes of testis, growing oocytes, spermatogonia and semen (at protein level). Expressed in cervix adenocarcinoma, in testicular, pancreatic and renal-cell carcinomas (at protein level). Expressed ubiquitously during fetal development at 8 and 14 weeks of gestation. Expressed in ovary, testis, brain, placenta, pancreatic cancer tissues and pancreatic cancer cell lines. {ECO:0000269|PubMed:10525192, ECO:0000269|PubMed:12161597, ECO:0000269|PubMed:15644775, ECO:0000269|PubMed:16049158, ECO:0000269|PubMed:16814207, ECO:0000269|PubMed:17192788, ECO:0000269|PubMed:9178771, ECO:0000269|PubMed:9891060}."
77,O00429,DNM1L_HUMAN,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),"TISSUE SPECIFICITY: Ubiquitously expressed with highest levels found in skeletal muscles, heart, kidney and brain. Isoform 1 is brain-specific. Isoform 2 and isoform 3 are predominantly expressed in testis and skeletal muscles respectively. Isoform 4 is weakly expressed in brain, heart and kidney. Isoform 5 is dominantly expressed in liver, heart and kidney. Isoform 6 is expressed in neurons. {ECO:0000269|PubMed:10749171, ECO:0000269|PubMed:9422767, ECO:0000269|PubMed:9570752, ECO:0000269|PubMed:9731200, ECO:0000269|PubMed:9786947}."
78,O00442,RTCA_HUMAN,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),TISSUE SPECIFICITY: Ubiquitous.
79,O00443,P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha),"TISSUE SPECIFICITY: Expressed in columnar and transitional epithelia, mononuclear cells, smooth muscle cells, and endothelial cells lining capillaries and small venules (at protein level). Ubiquitously expressed, with highest levels in heart, placenta and ovary, and lowest levels in the kidney. Detected at low levels in islets of Langerhans from type 2 diabetes mellitus individuals. {ECO:0000269|PubMed:14563213, ECO:0000269|PubMed:21127054, ECO:0000269|PubMed:9337861}."
80,O00459,P85B_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta),
81,O00468,AGRIN_HUMAN,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],"TISSUE SPECIFICITY: Expressed in basement membranes of lung and kidney. Muscle- and neuron-specific isoforms are found. Isoforms (y+) with the 4 AA insert and (z+8) isoforms with the 8 AA insert are all neuron-specific. Isoforms (z+11) are found in both neuronal and non-neuronal tissues. {ECO:0000269|PubMed:16487930, ECO:0000269|PubMed:20551380, ECO:0000269|PubMed:9652404}."
82,O00479,HMGN4_HUMAN,High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3) (Non-histone chromosomal protein),
83,O00483,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit),
84,O00499,BIN1_HUMAN,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1),"TISSUE SPECIFICITY: Ubiquitous. Highest expression in the brain and muscle (PubMed:9182667). Expressed in oligodendrocytes (PubMed:27488240). Isoform IIA is expressed only in the brain, where it is detected in the gray matter, but not in the white matter (PubMed:27488240). Isoform BIN1 is widely expressed with highest expression in skeletal muscle. {ECO:0000269|PubMed:10903846, ECO:0000269|PubMed:27488240, ECO:0000269|PubMed:9182667}."
85,O00505,IMA4_HUMAN,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),TISSUE SPECIFICITY: Ubiquitous. Highest levels in heart and skeletal muscle.
86,O00519,FAAH1_HUMAN,Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1),"TISSUE SPECIFICITY: Highly expressed in the brain, small intestine, pancreas, skeletal muscle and testis. Also expressed in the kidney, liver, lung, placenta and prostate. {ECO:0000269|PubMed:17015445}."
87,O00562,PITM1_HUMAN,"Membrane-associated phosphatidylinositol transfer protein 1 (Drosophila retinal degeneration B homolog) (Phosphatidylinositol transfer protein, membrane-associated 1) (PITPnm 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2)",TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:10022914}.
88,O00566,MPP10_HUMAN,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),
89,O00567,NOP56_HUMAN,Nucleolar protein 56 (Nucleolar protein 5A),
90,O00592,PODXL_HUMAN,Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1),TISSUE SPECIFICITY: Glomerular epithelium cell (podocyte).
91,O00602,FCN1_HUMAN,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),"TISSUE SPECIFICITY: Peripheral blood leukocytes, monocytes and granulocytes. Also detected in spleen, lung, and thymus, may be due to the presence of tissue macrophages or trapped blood in these tissues. Not detected on lymphocytes. {ECO:0000269|PubMed:20400674}."
92,O00625,PIR_HUMAN,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)","TISSUE SPECIFICITY: Highly expressed in a subset of melanomas. Detected at very low levels in most tissues (at protein level). Expressed in all tissues, with highest level of expression in heart and liver. {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}."
93,O00629,IMA3_HUMAN,Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4),"TISSUE SPECIFICITY: Highly expressed in testis, ovary, small intestine, heart, skeletal muscle, lung and pancreas, but barely detectable in kidney, thymus, colon and peripheral blood leukocytes. {ECO:0000269|PubMed:9395085}."
94,O00635,TRI38_HUMAN,E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet),TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:9149941}.
95,O00743,PPP6_HUMAN,"Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]","TISSUE SPECIFICITY: Ubiquitously expressed in all tissues tested with highest expression levels in testis, heart, kidney, brain, stomach, liver and skeletal muscle and lowest in placenta, lung colon and spleen. {ECO:0000269|PubMed:16769727, ECO:0000269|PubMed:9013334}."
96,O00748,EST2_HUMAN,Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56),"TISSUE SPECIFICITY: Preferentially expressed in intestine with moderate expression in liver. Within the intestine, highest expression is found in small intestine with lower expression in colon and rectum. {ECO:0000269|PubMed:9144407}."
97,O00754,MA2B1_HUMAN,Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide],
98,O00757,F16P2_HUMAN,"Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)",TISSUE SPECIFICITY: Expressed in skeletal muscle (at protein level). {ECO:0000269|PubMed:12507293}.
99,O00763,ACACB_HUMAN,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),"TISSUE SPECIFICITY: Widely expressed with highest levels in heart, skeletal muscle, liver, adipose tissue, mammary gland, adrenal gland and colon (PubMed:9099716). Isoform 3 is expressed in skeletal muscle, adipose tissue and liver (at protein level) (PubMed:19190759). Isoform 3 is detected at high levels in adipose tissue with lower levels in heart, liver, skeletal muscle and testis (PubMed:19190759). {ECO:0000269|PubMed:19190759, ECO:0000269|PubMed:9099716}."
100,O14494,PLPP1_HUMAN,Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a),"TISSUE SPECIFICITY: Widely expressed with highest expression found in prostate (PubMed:9305923). Found to be down-regulated in colon adenocarcinomas (PubMed:9570154). {ECO:0000269|PubMed:9305923, ECO:0000269|PubMed:9570154}.; TISSUE SPECIFICITY: [Isoform 1]: Predominant in kidney, lung, placenta and liver. {ECO:0000269|PubMed:9570154}.; TISSUE SPECIFICITY: [Isoform 2]: Predominant in heart and pancreas. {ECO:0000269|PubMed:9570154}."
101,O14497,ARI1A_HUMAN,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)","TISSUE SPECIFICITY: Highly expressed in spleen, thymus, prostate, testis, ovary, small intestine, colon, and PBL, and at a much lower level in heart, brain, placenta, lung, liver, skeletal muscle, kidney, and pancreas. {ECO:0000269|PubMed:11073988, ECO:0000269|PubMed:11318604, ECO:0000269|PubMed:12200431}."
102,O14498,ISLR_HUMAN,Immunoglobulin superfamily containing leucine-rich repeat protein,"TISSUE SPECIFICITY: Expressed in various tissues including retina, heart, skeletal muscle, prostate, ovary, small intestine, thyroid, adrenal cortex, testis, stomach and spinal cord. {ECO:0000269|PubMed:10512678, ECO:0000269|PubMed:9325048}."
103,O14531,DPYL4_HUMAN,Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4),
